FANTASYCALC DYNASTY VALUES - 10 TEAM, 1QB, 1.0 PPR
Pulled: 2026-05-08
Source: https://api.fantasycalc.com/values/current?isDynasty=true&numQbs=1&numTeams=10&ppr=1
Total entries: 462

Columns: OverallRank | PosRank | Player | Pos | Team | Age | YOE | Value | Trend30D | RedraftValue | Tier | TradeFreq
----------------------------------------------------------------------------------------------------------------------------------
   1 |   1 | Bijan Robinson               | RB  | ATL  |  24.3 |   3 |  11167 |   -152 |  10499 |    1 |  0.0049
   2 |   2 | Jahmyr Gibbs                 | RB  | DET  |  24.2 |   3 |  10447 |    152 |  10381 |    2 |  0.0068
   3 |   1 | Ja'Marr Chase                | WR  | CIN  |  26.2 |   5 |   9712 |    -31 |  10008 |    3 |  0.0064
   4 |   2 | Jaxon Smith-Njigba           | WR  | SEA  |  24.2 |   3 |   9209 |    -23 |   9021 |    4 |  0.0049
   5 |   3 | Puka Nacua                   | WR  | LAR  |    25 |   3 |   8520 |     99 |   8901 |    5 |  0.0065
   6 |   3 | Ashton Jeanty                | RB  | LV   |  22.4 |   1 |   7857 |    263 |   8117 |    6 |  0.0076
   7 |   4 | Jeremiyah Love               | RB  | ARI  |    21 |   0 |   7412 |   -373 |   6845 |    7 |  0.0099
   8 |   4 | Malik Nabers                 | WR  | NYG  |  22.8 |   2 |   7402 |    321 |   6777 |    7 |  0.0076
   9 |   5 | Amon-Ra St. Brown            | WR  | DET  |  26.6 |   5 |   7375 |     72 |   8725 |    7 |  0.0088
  10 |   1 | 2026 Pick 1.01               | PICK | FA   |     ? |   ? |   7268 |    715 |      0 |    7 |        
  10 |   6 | Justin Jefferson             | WR  | MIN  |  26.9 |   6 |   6939 |   -330 |   8416 |    8 |   0.012
  11 |   1 | Brock Bowers                 | TE  | LV   |  23.4 |   2 |   6890 |    226 |   6112 |    8 |  0.0053
  12 |   5 | De'Von Achane                | RB  | MIA  |  24.6 |   3 |   6553 |     85 |   8077 |    9 |  0.0112
  13 |   7 | CeeDee Lamb                  | WR  | DAL  |  27.1 |   6 |   6508 |   -218 |   8006 |    9 |  0.0135
  14 |   6 | Omarion Hampton              | RB  | LAC  |  23.2 |   1 |   6303 |   -136 |   7110 |   10 |  0.0089
  15 |   2 | Trey McBride                 | TE  | ARI  |  26.5 |   4 |   6117 |   -430 |   6900 |   10 |  0.0071
  16 |   8 | Drake London                 | WR  | ATL  |  24.8 |   4 |   5963 |    314 |   6363 |   10 |  0.0109
  17 |   7 | Jonathan Taylor              | RB  | IND  |  27.3 |   6 |   5569 |     72 |   8300 |   11 |  0.0085
  18 |   1 | Josh Allen                   | QB  | BUF  |    30 |   8 |   5333 |    -22 |   6147 |   12 |  0.0062
  19 |   8 | James Cook                   | RB  | BUF  |  26.6 |   4 |   5272 |   -231 |   7631 |   12 |  0.0093
  20 |   9 | Tetairoa McMillan            | WR  | CAR  |  23.1 |   1 |   5220 |     52 |   4468 |   12 |  0.0087
  21 |  10 | George Pickens               | WR  | DAL  |  25.2 |   4 |   4654 |    196 |   4806 |   13 |  0.0114
  22 |   2 | Drake Maye                   | QB  | NE   |  23.7 |   2 |   4603 |      7 |   3429 |   13 |  0.0054
  23 |   9 | Kenneth Walker               | RB  | KC   |  25.6 |   4 |   4500 |   -100 |   5980 |   14 |  0.0124
  24 |  11 | Emeka Egbuka                 | WR  | TB   |  23.6 |   1 |   4474 |     72 |   3723 |   14 |  0.0117
