FANTASYCALC DYNASTY PICK VALUES - 10 TEAM, 1QB, 1.0 PPR - 2026-05-08
--------------------------------------------------------------------------------------------------------------
PosRank | OverallRank | Player | Team | Age | YOE | Value | Trend30D | Tier
    1 |    10 | 2026 Pick 1.01                 | FA   |     ? |   ? |   7268 |    715 |    7
    2 |    30 | 2026 Pick 1.02                 | FA   |     ? |   ? |   4226 |     45 |   15
    3 |    30 | 2026 Pick 1.03                 | FA   |     ? |   ? |   4181 |    313 |   15
    4 |    41 | 2026 Pick 1.04                 | FA   |     ? |   ? |   3829 |    547 |   17
    5 |    49 | 2026 Pick 1.05                 | FA   |     ? |   ? |   3532 |    603 |   19
    6 |    53 | 2026 Pick 1.06                 | FA   |     ? |   ? |   3277 |    436 |   20
    7 |    59 | 2026 1st                       | FA   |     ? |   ? |   3168 |    448 |   20
    8 |    62 | 2026 Pick 1.07                 | FA   |     ? |   ? |   3057 |    458 |   20
    9 |    64 | 2027 1st                       | FA   |     ? |   ? |   2943 |     19 |   21
   10 |    67 | 2026 Pick 1.08                 | FA   |     ? |   ? |   2865 |    470 |   21
   11 |    72 | 2026 Pick 1.09                 | FA   |     ? |   ? |   2695 |    475 |   22
   12 |    74 | 2026 Pick 1.10                 | FA   |     ? |   ? |   2545 |    475 |   22
   13 |    77 | 2026 Pick 1.11                 | FA   |     ? |   ? |   2410 |    472 |   23
   14 |    80 | 2026 Pick 1.12                 | FA   |     ? |   ? |   2289 |    467 |   24
   15 |    88 | 2026 Pick 2.01                 | FA   |     ? |   ? |   2179 |    460 |   24
   16 |    92 | 2028 1st                       | FA   |     ? |   ? |   2098 |      2 |   25
   17 |    92 | 2026 Pick 2.02                 | FA   |     ? |   ? |   2080 |    452 |   25
   18 |   103 | 2029 1st                       | FA   |     ? |   ? |   1991 |     73 |   25
   19 |   103 | 2026 Pick 2.03                 | FA   |     ? |   ? |   1989 |    444 |   25
   20 |   106 | 2026 Pick 2.04                 | FA   |     ? |   ? |   1905 |    435 |   26
   21 |   116 | 2026 Pick 2.05                 | FA   |     ? |   ? |   1829 |    426 |   27
   22 |   123 | 2026 Pick 2.06                 | FA   |     ? |   ? |   1758 |    417 |   28
   23 |   127 | 2026 2nd                       | FA   |     ? |   ? |   1726 |    413 |   28
   24 |   127 | 2026 Pick 2.07                 | FA   |     ? |   ? |   1693 |    408 |   29
   25 |   134 | 2026 Pick 2.08                 | FA   |     ? |   ? |   1632 |    400 |   29
   26 |   141 | 2026 Pick 2.09                 | FA   |     ? |   ? |   1575 |    391 |   30
   27 |   146 | 2026 Pick 2.10                 | FA   |     ? |   ? |   1523 |    383 |   30
   28 |   146 | 2027 2nd                       | FA   |     ? |   ? |   1517 |     34 |   30
   29 |   149 | 2026 Pick 2.11                 | FA   |     ? |   ? |   1474 |    375 |   31
   30 |   155 | 2026 Pick 2.12                 | FA   |     ? |   ? |   1428 |    367 |   31
   31 |   164 | 2026 Pick 3.01                 | FA   |     ? |   ? |   1383 |    358 |   32
