FANTASYCALC DYNASTY TE VALUES - 10 TEAM, 1QB, 1.0 PPR - 2026-05-08
--------------------------------------------------------------------------------------------------------------
PosRank | OverallRank | Player | Team | Age | YOE | Value | Trend30D | Tier
    1 |    11 | Brock Bowers                   | LV   |  23.4 |   2 |   6890 |    226 |    8
    2 |    15 | Trey McBride                   | ARI  |  26.5 |   4 |   6117 |   -430 |   10
    3 |    25 | Colston Loveland               | CHI  |  22.1 |   1 |   4383 |   -146 |   14
    4 |    31 | Tyler Warren                   | IND  |    24 |   1 |   4031 |    -24 |   16
    5 |    63 | Tucker Kraft                   | GB   |  25.5 |   3 |   2955 |   -104 |   21
    6 |    64 | Harold Fannin                  | CLE  |  21.8 |   1 |   2940 |    -66 |   21
    7 |    70 | Kenyon Sadiq                   | NYJ  |  21.2 |   0 |   2702 |   -244 |   22
    8 |    71 | Sam LaPorta                    | DET  |  25.3 |   3 |   2702 |   -237 |   22
    9 |    75 | Kyle Pitts                     | ATL  |  25.6 |   5 |   2467 |   -147 |   23
   10 |    83 | Eli Stowers                    | PHI  |  23.1 |   0 |   2233 |    233 |   24
   11 |   100 | Oronde Gadsden                 | LAC  |  22.9 |   1 |   2020 |   -107 |   25
   12 |   103 | George Kittle                  | SF   |  32.6 |   9 |   1984 |    157 |   25
   13 |   114 | Jake Ferguson                  | DAL  |  27.3 |   4 |   1853 |     60 |   26
   14 |   124 | Dalton Kincaid                 | BUF  |  26.6 |   3 |   1754 |     19 |   28
   15 |   126 | Isaiah Likely                  | NYG  |  26.1 |   4 |   1744 |   -105 |   28
   16 |   144 | Mark Andrews                   | BAL  |  30.7 |   8 |   1537 |    149 |   30
   17 |   158 | AJ Barner                      | SEA  |    24 |   2 |   1404 |     65 |   32
   18 |   159 | T.J. Hockenson                 | MIN  |  28.9 |   7 |   1403 |    -31 |   32
   19 |   161 | Travis Kelce                   | KC   |  36.6 |  13 |   1397 |     56 |   32
   20 |   165 | Chig Okonkwo                   | WAS  |  26.7 |   4 |   1367 |   -123 |   32
   21 |   168 | Brenton Strange                | JAX  |  25.4 |   3 |   1356 |   -180 |   32
   22 |   179 | Dallas Goedert                 | PHI  |  31.4 |   8 |   1274 |   -133 |   33
   23 |   186 | Juwan Johnson                  | NO   |  29.7 |   6 |   1206 |    175 |   34
   24 |   188 | Max Klare                      | LAR  |  22.8 |   0 |   1199 |    -65 |   34
   25 |   189 | Gunnar Helm                    | TEN  |  23.7 |   1 |   1198 |   -147 |   34
   26 |   190 | Hunter Henry                   | NE   |  31.4 |  10 |   1182 |    312 |   34
   27 |   203 | Oscar Delp                     | NO   |  22.8 |   0 |    968 |     99 |   36
   28 |   205 | David Njoku                    | FA   |  29.8 |   9 |    940 |    -31 |   36
   29 |   206 | Terrance Ferguson              | LAR  |  23.2 |   1 |    934 |   -367 |   36
   30 |   207 | Dalton Schultz                 | HOU  |  29.8 |   8 |    929 |    100 |   36
   31 |   217 | Eli Raridon                    | NE   |  22.2 |   0 |    884 |    895 |   36
   32 |   220 | Cade Otton                     | TB   |  27.1 |   4 |    878 |   -122 |   36
   33 |   229 | Justin Joly                    | DEN  |  21.8 |   0 |    818 |    107 |   37
   34 |   231 | Jake Tonges                    | SF   |  26.9 |   4 |    807 |   -128 |   37
   35 |   241 | Elijah Arroyo                  | SEA  |  23.1 |   1 |    758 |     64 |   38
   36 |   242 | Mason Taylor                   | NYJ  |    22 |   1 |    750 |   -675 |   38
   37 |   245 | Michael Mayer                  | LV   |  24.9 |   3 |    709 |     70 |   39
   38 |   247 | Theo Johnson                   | NYG  |  25.2 |   2 |    691 |    -93 |   39
   39 |   249 | Evan Engram                    | DEN  |  31.7 |   9 |    691 |    152 |   39
   40 |   253 | Michael Trigg                  | DAL  |     ? |   0 |    643 |   -339 |   40
   41 |   259 | Pat Freiermuth                 | PIT  |  27.6 |   5 |    606 |      0 |   40
   42 |   269 | Colby Parkinson                | LAR  |  27.3 |   6 |    521 |     54 |   41
